"","Treatment","Diet","Sex","day","est","lower","upper"
"1","Control","CY0.5","F",0,1,1,1
"2","Control","CY0.5","F",1,0.996703200798513,0.995569408433865,0.997652334795515
"3","Control","CY0.5","F",2,0.995176924947146,0.993851925044146,0.996526402874544
"4","Control","CY0.5","F",3,0.993360764007145,0.991339285660001,0.995425255211285
"5","Control","CY0.5","F",4,0.99174974656527,0.989230793316448,0.994206066752832
"6","Control","CY0.5","F",5,0.990943582277435,0.988455434051207,0.993481641375608
"7","Control","CY0.5","F",6,0.989681413086383,0.98709803301621,0.992360135737637
"8","Control","CY0.5","F",7,0.987084771366435,0.98422641050219,0.989859016364851
"9","Control","CY0.5","F",8,0.984412979765734,0.98097630404489,0.987681075369284
"10","Control","CY0.5","F",9,0.980999768850223,0.976641951152324,0.984884518614637
"11","Control","CY0.5","F",10,0.979895569506607,0.975554283439582,0.983829236607637
"12","Control","CY0.5","F",11,0.978455634318475,0.97400384515758,0.982560434756537
"13","Control","CY0.5","F",12,0.976977766727601,0.972314509717143,0.981335041522608
"14","Control","CY1.0","F",0,1,1,1
"15","Control","CY1.0","F",1,0.997534383156614,0.996572940046837,0.998279036150245
"16","Control","CY1.0","F",2,0.996392211953241,0.995176878445448,0.99734785593065
"17","Control","CY1.0","F",3,0.995032532216708,0.993475544185164,0.996398024024632
"18","Control","CY1.0","F",4,0.993825909112159,0.991912753456532,0.995644880611663
"19","Control","CY1.0","F",5,0.993221920833953,0.991192992228698,0.995046663810276
"20","Control","CY1.0","F",6,0.992276038838303,0.989805500629628,0.99426066112032
"21","Control","CY1.0","F",7,0.990329131686624,0.987532683658517,0.992528590764437
"22","Control","CY1.0","F",8,0.988324528747702,0.985144466179849,0.990714850329215
"23","Control","CY1.0","F",9,0.985761651377982,0.982055841220843,0.988534581726038
"24","Control","CY1.0","F",10,0.98493205969409,0.981250015481545,0.987939936438346
"25","Control","CY1.0","F",11,0.98384987301521,0.980013888657286,0.986955463511556
"26","Control","CY1.0","F",12,0.982738760023467,0.978639083951816,0.985996934799049
"27","Control","CY1.5","F",0,1,1,1
"28","Control","CY1.5","F",1,0.996893991521666,0.995837604914047,0.997813319437711
"29","Control","CY1.5","F",2,0.995455841997433,0.994179377287438,0.996727794221385
"30","Control","CY1.5","F",3,0.993744378594605,0.991926851908374,0.995464399681126
"31","Control","CY1.5","F",4,0.992226080844231,0.989974984435192,0.99442224279901
"32","Control","CY1.5","F",5,0.99146626047929,0.989291627203555,0.993515176425574
"33","Control","CY1.5","F",6,0.990276577567675,0.987730114287837,0.992566125517982
"34","Control","CY1.5","F",7,0.987828784076637,0.985185158076226,0.990410044562033
"35","Control","CY1.5","F",8,0.985309758922356,0.982224601312819,0.988248284710884
"36","Control","CY1.5","F",9,0.98209113029587,0.978369107160883,0.985439114859093
"37","Control","CY1.5","F",10,0.981049740925116,0.977273521631931,0.984563014852835
"38","Control","CY1.5","F",11,0.979691611112687,0.975775750252594,0.983324923305583
"39","Control","CY1.5","F",12,0.978297583435981,0.974396442282439,0.982083894145511
"40","Control","C","F",0,1,1,1
"41","Control","C","F",1,0.996377565522016,0.994448725754675,0.997707289848693
"42","Control","C","F",2,0.994700935811797,0.991856152439487,0.996652210018813
"43","Control","C","F",3,0.992706195882914,0.988831398075672,0.995475994065312
"44","Control","C","F",4,0.990937072737718,0.986168694671565,0.994223703596545
"45","Control","C","F",5,0.989621480853426,0.984608588601959,0.993122992830182
"46","Control","C","F",6,0.987563089432939,0.982301689187618,0.991248679058533
"47","Control","C","F",7,0.983333621814092,0.978146558404315,0.98740030744805
"48","Control","C","F",8,0.978989101697742,0.973840874503249,0.983376307531692
"49","Control","C","F",9,0.973449843369442,0.967198587496873,0.978510546878157
"50","Control","C","F",10,0.971364759654614,0.965469859285489,0.976641716588389
"51","Control","C","F",11,0.968648887736408,0.962670692619928,0.974239995565987
"52","Control","C","F",12,0.965865225607588,0.960192634498373,0.971483736566068
"53","Control","CY0.5","M",0,1,1,1
"54","Control","CY0.5","M",1,0.996303082114891,0.995033576322585,0.997424707732275
"55","Control","CY0.5","M",2,0.994592071717657,0.99292060426865,0.995956818494
"56","Control","CY0.5","M",3,0.992556505381373,0.990151494477505,0.994593500314571
"57","Control","CY0.5","M",4,0.990751244030579,0.988013726188409,0.993271371031843
"58","Control","CY0.5","M",5,0.990322349466585,0.987623864429253,0.992819766513915
"59","Control","CY0.5","M",6,0.989650523930604,0.986936426580871,0.992190890618402
"60","Control","CY0.5","M",7,0.988267126331243,0.985283305844339,0.990833595672498
"61","Control","CY0.5","M",8,0.986841914342325,0.983908750342963,0.989448663284177
"62","Control","CY0.5","M",9,0.985018573920253,0.981839465461799,0.987920543719115
"63","Control","CY0.5","M",10,0.983724744882277,0.98069148145403,0.986624062830805
"64","Control","CY0.5","M",11,0.982037888318757,0.978723097262012,0.985252316193466
"65","Control","CY0.5","M",12,0.980307025881608,0.976749595027275,0.98375201717188
"66","Control","CY1.0","M",0,1,1,1
"67","Control","CY1.0","M",1,0.9972350016093,0.996198061980854,0.998121980200668
"68","Control","CY1.0","M",2,0.995954426518842,0.994594073443552,0.997080020593295
"69","Control","CY1.0","M",3,0.994430218760049,0.992548084205638,0.996104801799393
"70","Control","CY1.0","M",4,0.99307780031135,0.990867093066503,0.995239740532575
"71","Control","CY1.0","M",5,0.992756400890242,0.990622621432522,0.994916517755826
"72","Control","CY1.0","M",6,0.992252886385452,0.990185646210863,0.994403104964281
"73","Control","CY1.0","M",7,0.991215796594393,0.988996281324405,0.993336438463714
"74","Control","CY1.0","M",8,0.990146976547845,0.987890412168815,0.992292416824947
"75","Control","CY1.0","M",9,0.988779016696614,0.986191637058246,0.991152682139941
"76","Control","CY1.0","M",10,0.987807934668515,0.985174116678456,0.990046744588989
"77","Control","CY1.0","M",11,0.986541381898427,0.983952930150851,0.988906157771624
"78","Control","CY1.0","M",12,0.985241216940809,0.982306186434909,0.98791804336382
"79","Control","CY1.5","M",0,1,1,1
"80","Control","CY1.5","M",1,0.996516987823715,0.995443061029441,0.997447403871038
"81","Control","CY1.5","M",2,0.994904724001163,0.993459953180622,0.996257337131497
"82","Control","CY1.5","M",3,0.9929864257219,0.991138708939838,0.994867753452894
"83","Control","CY1.5","M",4,0.991284973878124,0.989187121201801,0.993606317246331
"84","Control","CY1.5","M",5,0.99088071600389,0.988734132487372,0.993126444230443
"85","Control","CY1.5","M",6,0.990247461271742,0.988037184124655,0.992410973246983
"86","Control","CY1.5","M",7,0.988943408704062,0.986374521617746,0.991361405490097
"87","Control","CY1.5","M",8,0.987599829361967,0.98451330480474,0.990198720467349
"88","Control","CY1.5","M",9,0.98588076139143,0.982445906396697,0.98884506355416
"89","Control","CY1.5","M",10,0.984660811464299,0.981318776342529,0.987821158707438
"90","Control","CY1.5","M",11,0.983070136637851,0.979596950714598,0.986319175394112
"91","Control","CY1.5","M",12,0.981437800447453,0.978089451086666,0.985238740564487
"92","Control","C","M",0,1,1,1
"93","Control","C","M",1,0.995938006448361,0.994377201949266,0.997114680334467
"94","Control","C","M",2,0.994058535935143,0.991779036747975,0.995750272293358
"95","Control","C","M",3,0.991822971572896,0.988654923914491,0.99418277687514
"96","Control","C","M",4,0.989840719592074,0.985898478694023,0.99258556709248
"97","Control","C","M",5,0.989140785438179,0.985165630000633,0.991994421710457
