"","Fungal","Male","Diet","day","est","lower","upper","Treatment","Sex"
"1",0,1,"CY/CY",0,1,NA,NA,"Control","Male"
"2",0,1,"CY/CY",1,0.985141615440313,0.976315097944856,0.992550559812872,"Control","Male"
"3",0,1,"CY/CY",2,0.979563590187904,0.967390500749272,0.989842013286656,"Control","Male"
"4",0,1,"CY/CY",3,0.975449777579847,0.961639929016919,0.987072121741095,"Control","Male"
"5",0,1,"CY/CY",4,0.969172095050399,0.95225477642457,0.983191274143528,"Control","Male"
"6",0,1,"CY/CY",5,0.967478053454889,0.949155961273647,0.981839370869195,"Control","Male"
"7",0,1,"CY/CY",6,0.964341520332857,0.944403484839053,0.979461631221051,"Control","Male"
"8",0,1,"CY/CY",7,0.958786300794596,0.93662286377925,0.973735609686183,"Control","Male"
"9",0,1,"CY/CY",8,0.950903747873489,0.924697467789568,0.967742417905742,"Control","Male"
"10",0,1,"CY/CY",9,0.941090030463003,0.91009060833571,0.963519861831393,"Control","Male"
"11",0,1,"CY/CY",10,0.93778964404145,0.905954487230638,0.9596329721538,"Control","Male"
"12",0,1,"CY/CY",11,0.934026257788112,0.900975436652204,0.956341312604522,"Control","Male"
"13",0,1,"CY/CY",12,0.929859908283269,0.896313615649075,0.955134566301626,"Control","Male"
"14",0,0,"CY/CY",0,1,NA,NA,"Control","Female"
"15",0,0,"CY/CY",1,0.995595963209854,0.991692779241316,0.998821892398248,"Control","Female"
"16",0,0,"CY/CY",2,0.993930539703294,0.988570613935015,0.998155696206529,"Control","Female"
"17",0,0,"CY/CY",3,0.992697994535004,0.985774189177627,0.99776078610191,"Control","Female"
"18",0,0,"CY/CY",4,0.990810045174984,0.982118702184498,0.997107275165599,"Control","Female"
"19",0,0,"CY/CY",5,0.990075373015522,0.981385337380623,0.996396118054984,"Control","Female"
"20",0,0,"CY/CY",6,0.988713162417681,0.979531236620909,0.99544175835154,"Control","Female"
"21",0,0,"CY/CY",7,0.986294228343841,0.976555416922282,0.993415760885113,"Control","Female"
"22",0,0,"CY/CY",8,0.982847997550648,0.972385546707887,0.990878663882861,"Control","Female"
"23",0,0,"CY/CY",9,0.97853439079616,0.964936189759061,0.989325421710495,"Control","Female"
"24",0,0,"CY/CY",10,0.975568023621646,0.96025266434244,0.987332774435776,"Control","Female"
"25",0,0,"CY/CY",11,0.972183784240603,0.954797566536368,0.985783616941043,"Control","Female"
"26",0,0,"CY/CY",12,0.968435017822152,0.947400056532389,0.984214135773545,"Control","Female"
"27",0,1,"CY/C",0,1,NA,NA,"Control","Male"
"28",0,1,"CY/C",1,0.992438450091643,0.988674873755747,0.995968080093796,"Control","Male"
"29",0,1,"CY/C",2,0.989585247743004,0.984670602239701,0.994315179261487,"Control","Male"
