 ,Fungal,Mated,Cohabit,Male,est,day,Treatment,Sex,Mating_status,male_fun,male_mat,fun_mated,lower,upper,Day,int_colour
1,0,0,0,0,1,0,Control,female,Virgin,0,0,0,NA,NA,0,Virgin female
2,0,0,0,0,0.999307113,1,Control,female,Virgin,0,0,0,0.99834469,0.999831376,1,Virgin female
3,0,0,0,0,0.997916264,2,Control,female,Virgin,0,0,0,0.99584881,0.9991808,2,Virgin female
4,0,0,0,0,0.997217328,3,Control,female,Virgin,0,0,0,0.994613577,0.998836834,3,Virgin female
5,0,0,0,0,0.995549001,4,Control,female,Virgin,0,0,0,0.991781135,0.998111043,4,Virgin female
6,0,0,0,0,0.993512563,5,Control,female,Virgin,0,0,0,0.988371035,0.997043153,5,Virgin female
7,0,0,0,0,0.989634704,6,Control,female,Virgin,0,0,0,0.982324571,0.994909281,6,Virgin female
8,0,0,0,0,0.989117814,7,Control,female,Virgin,0,0,0,0.981886143,0.994536881,7,Virgin female
9,0,0,0,0,0.988270299,8,Control,female,Virgin,0,0,0,0.980739609,0.993708362,8,Virgin female
10,0,0,0,0,0.987411481,9,Control,female,Virgin,0,0,0,0.979646018,0.993092271,9,Virgin female
11,0,0,0,0,0.986104912,10,Control,female,Virgin,0,0,0,0.978274411,0.991976273,10,Virgin female
12,0,0,0,0,0.984703776,11,Control,female,Virgin,0,0,0,0.976835294,0.990935152,11,Virgin female
13,0,0,0,0,0.983188277,12,Control,female,Virgin,0,0,0,0.974822123,0.989943655,12,Virgin female
14,0,0,0,0,0.980652321,13,Control,female,Virgin,0,0,0,0.971606833,0.987787305,13,Virgin female
15,0,0,0,0,0.977512049,14,Control,female,Virgin,0,0,0,0.967807142,0.985282428,14,Virgin female
16,0,0,0,0,0.974665499,15,Control,female,Virgin,0,0,0,0.964256083,0.983141427,15,Virgin female
17,0,0,0,0,0.971387815,16,Control,female,Virgin,0,0,0,0.960154336,0.980684031,16,Virgin female
18,0,0,0,0,0.967687877,17,Control,female,Virgin,0,0,0,0.955270809,0.978060052,17,Virgin female
19,0,0,0,0,0.963911625,18,Control,female,Virgin,0,0,0,0.950509077,0.975385196,18,Virgin female
20,0,0,0,0,0.961348575,19,Control,female,Virgin,0,0,0,0.946937032,0.973553676,19,Virgin female
21,0,0,0,0,0.9584793,20,Control,female,Virgin,0,0,0,0.943231081,0.971493048,20,Virgin female
22,0,0,0,0,0.954990402,21,Control,female,Virgin,0,0,0,0.93848845,0.969102492,21,Virgin female
23,0,0,0,1,1,0,Control,male,Virgin,0,0,0,NA,NA,0,Virgin male
24,0,0,0,1,0.998537866,1,Control,male,Virgin,0,0,0,0.996709309,0.999636323,1,Virgin male
25,0,0,0,1,0.995606291,2,Control,male,Virgin,0,0,0,0.99144129,0.998210528,2,Virgin male
26,0,0,0,1,0.994134813,3,Control,male,Virgin,0,0,0,0.989428097,0.997335103,3,Virgin male
27,0,0,0,1,0.990627098,4,Control,male,Virgin,0,0,0,0.98389856,0.995751359,4,Virgin male
28,0,0,0,1,0.986354258,5,Control,male,Virgin,0,0,0,0.977530774,0.993374083,5,Virgin male
29,0,0,0,1,0.978244636,6,Control,male,Virgin,0,0,0,0.965559578,0.988602506,6,Virgin male
30,0,0,0,1,0.977166345,7,Control,male,Virgin,0,0,0,0.964441858,0.987622987,7,Virgin male
31,0,0,0,1,0.975399686,8,Control,male,Virgin,0,0,0,0.962320792,0.985984527,8,Virgin male
32,0,0,0,1,0.973611182,9,Control,male,Virgin,0,0,0,0.960321867,0.984231491,9,Virgin male
33,0,0,0,1,0.970893542,10,Control,male,Virgin,0,0,0,0.95730062,0.981820082,10,Virgin male
34,0,0,0,1,0.967983646,11,Control,male,Virgin,0,0,0,0.954078053,0.979274864,11,Virgin male
35,0,0,0,1,0.964841415,12,Control,male,Virgin,0,0,0,0.950412946,0.976677852,12,Virgin male
36,0,0,0,1,0.959595394,13,Control,male,Virgin,0,0,0,0.944756497,0.971934848,13,Virgin male
37,0,0,0,1,0.953120111,14,Control,male,Virgin,0,0,0,0.937169961,0.966466649,14,Virgin male
38,0,0,0,1,0.947270421,15,Control,male,Virgin,0,0,0,0.929965207,0.961581104,15,Virgin male
39,0,0,0,1,0.940558218,16,Control,male,Virgin,0,0,0,0.922331933,0.955903898,16,Virgin male
40,0,0,0,1,0.933011479,17,Control,male,Virgin,0,0,0,0.913162693,0.949414609,17,Virgin male
