Replicate,Day,Treatment,Mating_status,Survival,Larva,larvaPsurv,tag
2,2,Control,Cohabit,54,324,6,Control Cohabit
2,3,Control,Cohabit,53,262,4.943396226,Control Cohabit
2,4,Control,Cohabit,53,406,7.660377358,Control Cohabit
2,5,Control,Cohabit,53,579,10.9245283,Control Cohabit
2,6,Control,Cohabit,52,543,10.44230769,Control Cohabit
2,7,Control,Cohabit,52,317,6.096153846,Control Cohabit
2,8,Control,Cohabit,52,257,4.942307692,Control Cohabit
2,9,Control,Cohabit,52,322,6.192307692,Control Cohabit
2,10,Control,Cohabit,51,112,2.196078431,Control Cohabit
2,11,Control,Cohabit,51,123,2.411764706,Control Cohabit
2,12,Control,Cohabit,51,214,4.196078431,Control Cohabit
2,13,Control,Cohabit,50,784,15.68,Control Cohabit
2,14,Control,Cohabit,50,890,17.8,Control Cohabit
2,15,Control,Cohabit,24,504,21,Control Cohabit
2,16,Control,Cohabit,48,107,2.229166667,Control Cohabit
2,17,Control,Cohabit,48,344,7.166666667,Control Cohabit
2,18,Control,Cohabit,48,334,6.958333333,Control Cohabit
2,19,Control,Cohabit,48,253,5.270833333,Control Cohabit
2,20,Control,Cohabit,47,458,9.744680851,Control Cohabit
2,21,Control,Cohabit,47,405,8.617021277,Control Cohabit
2,2,Control,Mated,52,480,9.230769231,Control Mated
2,3,Control,Mated,52,370,7.115384615,Control Mated
2,4,Control,Mated,51,92,1.803921569,Control Mated
2,5,Control,Mated,51,81,1.588235294,Control Mated
2,6,Control,Mated,50,214,4.28,Control Mated
2,7,Control,Mated,50,53,1.06,Control Mated
2,8,Control,Mated,50,260,5.2,Control Mated
2,9,Control,Mated,50,409,8.18,Control Mated
2,10,Control,Mated,50,206,4.12,Control Mated
2,11,Control,Mated,50,246,4.92,Control Mated
2,12,Control,Mated,50,112,2.24,Control Mated
2,13,Control,Mated,50,273,5.46,Control Mated
2,14,Control,Mated,50,677,13.54,Control Mated
2,17,Control,Mated,50,98,1.96,Control Mated
2,18,Control,Mated,50,321,6.42,Control Mated
2,19,Control,Mated,50,207,4.14,Control Mated
