Replicate,Population,Cage_Number,Treatment,Day,Mating_status,Sex,Death
2,H3,1,Control,2,Virgin,F,1
2,H3,1,Control,21,Virgin,F,1
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,1,Control,21,Virgin,F,0
2,H3,2,Control,12,Virgin,M,1
2,H3,2,Control,12,Virgin,M,1
2,H3,2,Control,14,Virgin,M,1
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
2,H3,2,Control,21,Virgin,M,0
